latitude,longitude,download_mbps,upload_mbps,latency_ms
37.77490,-122.41940,85.2,42.1,12
37.77510,-122.41920,78.5,38.7,15
37.77470,-122.41920,72.3,35.2,18
37.77450,-122.41960,65.8,31.9,22
37.77530,-122.41960,88.7,44.3,11
37.77550,-122.41900,92.1,46.8,9
37.77430,-122.41900,58.4,28.1,26
37.77570,-122.41980,81.9,40.5,14
37.77410,-122.41980,52.7,25.3,29
37.77590,-122.41880,95.3,48.2,8
37.77390,-122.41880,48.1,23.1,32
37.77610,-122.42000,76.4,37.8,16
37.77370,-122.42000,45.2,21.7,35
37.77630,-122.41860,98.7,49.8,7
37.77350,-122.41860,41.9,19.8,38
37.77650,-122.42020,69.8,34.1,20
37.77330,-122.42020,38.7,18.2,41
37.77670,-122.41840,101.2,51.3,6
37.77310,-122.41840,35.4,16.8,44
37.77690,-122.42040,63.2,30.9,23
37.77290,-122.42040,32.1,15.1,47
37.77710,-122.41820,104.5,53.1,5
37.77270,-122.41820,29.8,13.9,50
37.77730,-122.42060,56.7,27.8,25
37.77250,-122.42060,26.5,12.4,53
37.77750,-122.41800,107.8,55.2,4
37.77230,-122.41800,23.2,10.8,56
37.77770,-122.42080,50.1,24.3,28
37.77210,-122.42080,20.9,9.7,59
37.77790,-122.41780,110.3,57.1,3
37.77190,-122.41780,18.7,8.1,62
37.77810,-122.42100,43.5,20.8,31
37.77170,-122.42100,16.4,7.2,65
37.77830,-122.41760,113.7,59.4,2
37.77150,-122.41760,14.1,6.3,68
37.77850,-122.42120,36.9,17.5,34
37.77130,-122.42120,11.8,5.4,71
37.77870,-122.41740,116.2,61.8,1
37.77110,-122.41740,9.5,4.2,74
37.77890,-122.42140,30.3,14.1,37
37.77090,-122.42140,7.2,3.1,77
37.77910,-122.41720,119.8,64.2,1
37.77070,-122.41720,4.9,2.0,80
37.77930,-122.42160,23.7,10.8,40
37.77050,-122.42160,2.6,1.2,83
37.77950,-122.41700,122.4,66.1,1
37.77030,-122.41700,1.3,0.8,86
